BCUT2D_CHGLO,MolLogP,ATSC3c,VSA_EState2,ATSC0c,ATS8s,AATSC7p,SRW05,fr_NH0,GATS4c,morgan688,morgan799,PAMPA,ID
-2.7157143756573,2.4913000000000087,1.697890083993962,104.83014927549593,2.046774479588048,1929.4999999999995,-0.0005709504192223,3.044522437723423,4,1.6663136068028586,0,0,-5.83,0
-2.707742358737283,3.814500000000005,1.6611801981065804,109.96855089574824,2.1412904843571043,2201.2638888888887,0.0032062904151501,2.3978952727983707,3,1.7099688972625111,0,0,-4.19,1
-2.726514659837669,2.889900000000005,1.4022445616951362,93.02964740322066,2.15970380363952,1869.611111111111,-0.0068653658689333,2.3978952727983707,2,1.486489936181954,0,0,-6.11,2
-2.7274021500929284,2.8899000000000035,1.4022439688108892,92.97508135121656,2.15970380351224,1866.0277777777776,-0.0068653658689333,2.3978952727983707,2,1.486490799043413,0,0,-6.12,3
-2.735939938124703,3.2321000000000044,1.424103393141102,91.19694882220034,2.1338252150310395,1939.9444444444448,-0.0077191300310283,2.3978952727983707,3,1.4786817909988723,0,0,-6.02,4
-2.7324473010119013,3.232100000000006,1.4238492198294035,91.36794256869624,2.1338288840070465,1943.0277777777776,-0.0035602929313171,2.3978952727983707,3,1.4791852729583903,0,0,-5.42,5
-2.730827706959046,2.692200000000005,1.431954448608129,89.01053409354758,2.0937765274323663,1863.9722222222224,-0.0084270624315719,3.044522437723423,4,1.4741502144972478,0,0,-5.95,6
-2.719071899957396,2.350000000000004,1.4100937618069016,90.77750835427486,2.1196551156909065,1792.805555555555,-0.0077599974566831,3.044522437723423,3,1.4832029681605594,0,0,-6.54,7
-2.73244730101188,3.2321000000000053,1.4238492198294035,91.36794256869624,2.133828884007046,1943.0277777777776,-0.0035602929313171,2.3978952727983707,3,1.479185272958391,0,0,-6.17,8
-2.727276694485435,3.4287000000000054,1.4111484872996032,92.0712088731772,2.160830413772924,1986.583333333333,-0.001635377895841,2.3978952727983707,3,1.4935780649210266,0,0,-6.39,9
-2.7029992929997544,2.012500000000006,1.3983894143691915,92.9610234612233,1.8562862299595388,1604.3333333333333,0.0093694918852057,2.3978952727983707,1,1.7010123854034014,0,0,-4.94,10
