ATSC0se,Chi0n,AATS0i,morgan66,morgan131,AATSC0d,fr_halogen,AATS8m,BalabanJ,ATSC7p,morgan1952,AATSC0m,MaxAbsPartialCharge,TSRW10,Caco2,ID
15.829446437209295,162.6737909220297,165.87316680352038,0,0,0.6034396971335858,0,49.42462382126898,3.0782809651195,-5.437853042774716,0,35.32910871247161,0.3907167559561568,142.35768686144,-5.7,0
17.067986637168136,172.52925280799352,166.91894283003373,0,0,0.5859699271673585,0,49.65292752319588,3.735738817171497,-1.4968646707614373,1,35.446786825221224,0.3907167542789859,144.3477461356232,-6.92,1
17.02124093273542,170.02925280799352,166.93745031143104,0,0,0.5905608397514529,0,49.473653147954735,3.716170041979245,-2.234612873976165,1,35.52190566691468,0.3907167542789975,143.3180597178649,-6.92,2
16.10124525233644,163.62100451752968,167.26519673453095,0,0,0.6234824002096253,0,47.12817156533334,3.661277430086213,-1.5487271679148489,0,35.451712376211894,0.3907167559564597,152.21208644182985,-5.96,3
16.236645850220263,173.12100451752968,166.4837819646041,0,0,0.6111898154437305,0,48.62179524709784,3.2049644950884257,-3.377615924011471,0,35.1622836561936,0.3907167559564597,159.53639408693016,-6.8,4
15.636693909547734,150.6737909220297,166.67856682333107,0,0,0.6218529835105174,0,48.67680803367345,3.456515535903176,-4.083940152008548,0,35.736118080301,0.5079666451556014,133.9941255452414,-6.85,5
19.04539548148148,163.36825197596664,167.32278693498213,0,0,0.6296081961591221,1,51.41887898621236,3.6190612006938014,0.0962809196525709,0,36.43754880258769,0.504880839000863,142.35958074318492,-6.7,6
17.21766772277227,152.55175539503892,167.2490136920651,0,0,0.6262376237623762,1,49.8257320325629,3.4798856190425,-1.56002320738089,0,36.27076053691093,0.504880839000863,136.0767336320629,-6.64,7
18.18561516981132,160.46000368550278,167.2624576981846,0,0,0.6273362406550373,1,50.672209574354056,3.626585090366559,6.546681729189685,0,36.273989588596905,0.504880839000863,140.30324323954758,-6.34,8
18.18561516981132,160.46000368550278,167.2624576981846,0,0,0.6179022783908864,1,50.92351426487984,3.598230551223281,2.474388942318726,0,36.273989588596905,0.504880839000863,140.2319957891101,-6.36,9
20.157095597989947,148.80768434105738,168.46705387582983,0,0,0.65185222595389,3,49.87241035628127,3.4639959688553152,-1.3077216909126144,0,37.54597375842325,0.4159098369648731,137.22625613034927,-5.96,10
20.221475405940595,151.30768434105738,168.42363060113195,0,0,0.6459415743554555,3,50.77645988754921,3.496674264471732,-2.869665707356684,0,37.4540813210604,0.4159098369648731,138.24693641760254,-5.51,11
20.40497209661835,156.80768434105738,169.1028257849475,0,0,0.6458493780484958,3,48.715177672093766,4.401381911232447,0.0692175851080943,0,37.342275404291456,0.4159098369648731,137.17111401909324,-5.54,12
16.236813151219508,155.05175539503892,166.56358972640265,0,0,0.620725758477097,1,50.45078071414728,3.5318051801595454,0.6374285351383289,0,39.49618235731113,0.3907167559614536,137.11162332036767,-5.85,13
16.236813151219508,155.05175539503892,166.56358972640265,0,0,0.620725758477097,1,50.4164722102713,3.5318051801595454,-0.504348874327943,0,39.49618235731113,0.3907167559614536,137.1100649935687,-5.8,14
16.336610758293833,160.05175539503892,166.5345744748319,0,0,0.6196177084971136,1,50.137990623626365,3.622186710476228,0.0468280945525428,0,39.24521199896678,0.3907167559614536,139.22295223816573,-5.89,15
17.520639345454537,165.9902875029574,166.04665042954716,0,0,0.6044628099173553,0,53.11968800758294,3.050973725408393,4.691038533326525,0,35.75141552363637,0.3907167559614536,145.45087707861722,-5.52,16
16.6532577037037,163.08203921249356,165.9638062433305,0,0,0.5925068587105625,0,50.967964744680856,3.0472040693512183,-2.900914648894404,0,35.57878110382372,0.3907167559614536,143.3683673383186,-5.6,17
16.55342826666666,158.08203921249356,165.9758229918209,0,0,0.6021768707482993,0,50.60388110779595,2.9927691519374853,-4.361535204220389,0,35.720826609160994,0.3907167559664299,141.2852118406482,-5.7,18
16.603823323943654,160.58203921249356,165.9697299925863,1,0,0.6160594238356587,0,52.58615518101761,3.007054547975513,6.124245995324573,0,35.649538237651264,0.3907167559614536,142.38226170452074,-5.68,19
16.653257703703698,163.08203921249356,165.9638062433305,1,0,0.611025377229081,0,52.05933465510597,3.023707122281612,4.901370001778793,0,35.57878110382372,0.3907167559614536,143.4095946176541,-5.92,20
16.93821887745097,152.46000368550278,165.9063984499904,0,0,0.6219482891195693,1,52.626891227984345,2.9779673245954217,0.2508938186382302,0,39.734389029027305,0.4908357537762438,140.32748821036168,-5.74,21
